price,city,neighborhood,bedrooms,bathrooms,furnished?,surface_area,building_age,facade,property_mortgaged?,lister_type,subcategory,latitude,longitude
690000.0,Tripoli,Ain Zara,7.0,3.0,True,300.0,1.0,Northern,False,Landlord,Homes for Sale,32.779791,13.318987
180000.0,Tripoli,Airport Road,3.0,1.0,False,95.0,6.0,Unknown,False,Landlord,Apartments for Sale,32.733081,13.310333
255000.0,Tripoli,Al-Serraj,4.0,2.0,False,125.0,1.0,Northeast,False,Landlord,Apartments for Sale,32.849712,13.105349
700000.0,Tripoli,Al-Mansoura,7.0,2.0,False,220.0,20.0,Eastern,False,Agent,Homes for Sale,32.878323,13.166314
600000.0,Tripoli,Airport Road,2.0,2.0,True,165.0,10.0,Northern,False,Landlord,Apartments for Sale,32.83853,13.150776
1050000.0,Tripoli,Tareeq Al-Mashtal,7.0,4.0,False,390.0,1.0,Eastern,False,Agent,Villas for Sale,32.76701,13.284226
475000.0,Tripoli,Alfornaj,4.0,3.0,False,180.0,0.0,Western,False,Landlord,Apartments for Sale,32.85073,13.239476
1750000.0,Tripoli,Souq Al-Juma'a,7.0,7.0,False,400.0,0.0,Southern,False,Agent,Homes for Sale,32.873769,13.270429
3950000.0,Tripoli,Al-Seyaheyya,7.0,5.0,False,480.0,10.0,Southeast,False,Landlord,Villas for Sale,32.850189,13.070551
500000.0,Tripoli,Ain Zara,3.0,2.0,False,130.0,10.0,Unknown,False,Agent,Homes for Sale,32.807232,13.315532
2300000.0,Tripoli,Abu Sittah,7.0,4.0,False,440.0,20.0,Eastern,False,Landlord,Villas for Sale,32.903069,13.225187
475000.0,Tripoli,Al-Shok Rd,4.0,3.0,False,180.0,0.0,Western,False,Landlord,Apartments for Sale,32.826208,13.246933
2350000.0,Tripoli,Gorje,7.0,7.0,True,845.0,1.0,Northern,False,Landlord,Villas for Sale,32.871208,13.146643
215000.0,Tripoli,Alfornaj,2.0,1.0,False,110.0,20.0,Western,False,Landlord,Apartments for Sale,32.844624,13.237267
240000.0,Gharyan,Other,4.0,2.0,False,160.0,10.0,Northeast,False,Landlord,Apartments for Sale,32.168337,13.028321
2300000.0,Tripoli,Al-Serraj,7.0,7.0,False,700.0,0.0,Northern,False,Agent,Villas for Sale,32.804192,13.093391
1200000.0,Tripoli,Souq Al-Juma'a,7.0,4.0,False,350.0,6.0,Unknown,False,Agent,Homes for Sale,32.879863,13.289647
3000000.0,Tripoli,Ain Zara,7.0,7.0,False,1500.0,1.0,Southwest,False,Agent,Homes for Sale,32.859253,13.298924
1900000.0,Tripoli,Souq Al-Juma'a,7.0,7.0,False,550.0,0.0,Western,False,Agent,Homes for Sale,32.877262,13.278005
1200000.0,Tripoli,Souq Al-Juma'a,7.0,4.0,False,200.0,1.0,Northern,False,Agent,Homes for Sale,32.883381,13.281882
800000.0,Tripoli,Souq Al-Juma'a,5.0,2.0,False,300.0,1.0,Western,False,Agent,Homes for Sale,32.878452,13.300676
1300000.0,Tripoli,Ain Zara,7.0,7.0,True,450.0,6.0,Southern,False,Agent,Villas for Sale,32.818401,13.300449
1600000.0,Tripoli,Souq Al-Juma'a,7.0,7.0,False,500.0,6.0,Northern,False,Agent,Homes for Sale,32.874424,13.277641
1750000.0,Tripoli,Souq Al-Juma'a,7.0,7.0,False,400.0,0.0,Southern,False,Agent,Homes for Sale,32.889709,13.261527
290000.0,Zawiya,Other,3.0,2.0,True,150.0,1.0,Northeast,False,Landlord,Apartments for Sale,32.763028,12.736496
650000.0,Tripoli,Ain Zara,7.0,5.0,False,310.0,1.0,Northeast,False,Landlord,Villas for Sale,32.805893,13.319472
675000.0,Benghazi,Qanfooda,3.0,2.0,False,150.0,0.0,Southwest,False,Agent,Whole Building for Sale,31.997295,19.9704
725000.0,Tripoli,Tareeq Al-Mashtal,3.0,3.0,False,260.0,1.0,Eastern,False,Landlord,Villas for Sale,32.837627,13.312297
900000.0,Tripoli,Tareeq Al-Mashtal,7.0,7.0,False,430.0,1.0,Southwest,False,Agent,Villas for Sale,32.854565,13.299747
