price,city,neighbourhood,bedrooms,bathrooms,surface_area,subcategory,latitude,longitude,furnished?,property_mortgaged?,lister_type,facade,price_per_meter_square
3000000.0,Benghazi,Venice,7.0,6.0,570.0,Villa,32.0597375,20.0772031,False,False,Owner,Unknown,5263.1578947368425
365000.0,tripoli,Ain Zara,3.0,3.0,184.0,House,32.816667,13.266667,False,False,Owner,Unknown,1983.695652173913
380000.0,Al Zawiya,West Zawiya,2.0,1.0,1000.0,House,32.7686527,12.6273621,False,False,Owner,Unknown,380.0
125000.0,tripoli,Ain Zara,3.0,2.0,,,32.816667,13.266667,False,False,Agent,Unknown,
700000.0,Qasr Bin Ghashir,Salah Al Din,4.0,4.0,300.0,House,32.7150047,13.1973291,False,False,Owner,Unknown,2333.3333333333335
210000.0,Qasr Bin Ghashir,Bir Al Alam,3.0,2.0,200.0,House,32.6909866,13.2241294,False,False,Owner,Unknown,1050.0
130000.0,Qasr Bin Ghashir,Bir Al Alam,3.0,3.0,220.0,House,32.6909866,13.2241294,False,False,Owner,Unknown,590.9090909090909
750000.0,Benghazi,Bo Sneib,3.0,3.0,500.0,Villa,32.0350472,20.0399765,False,False,Agent,Unknown,1500.0
1000000.0,Benghazi,Hay Es Salem,7.0,5.0,620.0,House,32.1422308,20.118664,False,False,Agent,Unknown,1612.9032258064517
1250000.0,Benghazi,Hay Es Salem,7.0,5.0,600.0,Villa,32.1422308,20.118664,False,False,Agent,Unknown,2083.3333333333335
265000.0,misratah,20 Ramadan,3.0,2.0,,Apartment,32.351624,15.0959302,False,False,Owner,Unknown,
470000.0,tripoli,Janzour,3.0,3.0,300.0,House,32.811981,13.0135612,False,False,Owner,Unknown,1566.6666666666667
335000.0,tripoli,Al Sarraj,3.0,2.0,145.0,Apartment,32.8219063,13.0760273,False,False,Agent,Unknown,2310.344827586207
3250000.0,tripoli,Zanata,7.0,7.0,490.0,Villa,32.86637479999999,13.2294047,False,False,Owner,Unknown,6632.65306122449
330000.0,Benghazi,Saida Aisha,2.0,2.0,,Apartment,32.0547375,20.1194219,False,False,Owner,Unknown,
1400000.0,Benghazi,Saida Aisha,4.0,4.0,500.0,Villa,32.0547375,20.1194219,False,False,Owner,Unknown,2800.0
950000.0,Benghazi,Hay Qatar,3.0,3.0,300.0,Villa,32.1143578,20.1073947,False,False,Owner,Unknown,3166.6666666666665
2000000.0,Benghazi,River,7.0,5.0,500.0,Villa,32.0986926,20.1397278,False,False,Owner,Unknown,4000.0
950000.0,tripoli,Janzour,3.0,3.0,250.0,Villa,32.811981,13.0135612,False,False,Owner,Unknown,3800.0
850000.0,Benghazi,Qawarsheh,4.0,4.0,800.0,Villa,32.032532,20.0625709,False,False,Agent,Unknown,1062.5
500000.0,Benghazi,Saida Aisha,3.0,2.0,190.0,Apartment,32.0547375,20.1194219,False,False,Owner,Unknown,2631.5789473684213
1950000.0,Benghazi,Hawary,4.0,4.0,500.0,Villa,32.0437183,20.1343032,False,False,Owner,Unknown,3900.0
220000.0,Benghazi,Dagadosta,2.0,1.0,,Apartment,32.0580523,20.0388677,False,False,Owner,Unknown,
950000.0,Benghazi,Zamzam,3.0,3.0,400.0,Villa,32.0891875,20.1437031,False,False,Owner,Unknown,2375.0
1200000.0,tripoli,Al Sarraj,5.0,5.0,180.0,Villa,32.8219063,13.0760273,False,False,Owner,Unknown,6666.666666666667
2700000.0,tripoli,Janzour,5.0,5.0,500.0,Villa,32.811981,13.0135612,False,False,Owner,Unknown,5400.0
450000.0,tripoli,Al Sarraj,3.0,3.0,190.0,Apartment,32.8219063,13.0760273,False,False,Owner,Unknown,2368.4210526315787
390000.0,tripoli,Ain Zara,5.0,1.0,175.0,House,32.8265702,13.2573047,False,False,Owner,Unknown,2228.5714285714284
650000.0,Benghazi,Al Fatih,2.0,2.0,,Apartment,32.103035,20.1086517,False,False,Agent,Unknown,
