url,price,location,attributes
https://ly.opensooq.com/en/search/272155043,"690,000 LYD","https://www.google.com/maps/search/?api=1&query=32.779791,13.318987&zoom=15","{'City': 'Tripoli', 'Neighborhood': 'Ain Zara', 'Bedrooms': 'More Than 6 Bedrooms', 'Bathrooms': '3 Bathrooms', 'Furnished?': 'Furnished', 'Surface Area': '300 meter square', 'Land Area': '355 meter square', 'Number of Floors': '2 Floors', 'Building Age': '1 - 5 years', 'Facade': 'Northern', 'Property Mortgaged?': 'No ', 'Lister Type': 'Landlord', 'Payment Method': 'Cash', 'Category': 'Property For Sale', 'Subcategory': 'Homes for Sale'}"
https://ly.opensooq.com/en/search/274449271,"180,000 LYD","https://www.google.com/maps/search/?api=1&query=32.733081,13.310333&zoom=15","{'City': 'Tripoli', 'Neighborhood': 'Airport Road', 'Bedrooms': '3 Bedrooms', 'Bathrooms': 'One Bathroom', 'Furnished?': 'Unfurnished', 'Surface Area': '95 meter square', 'Floor': 'Ground Floor', 'Building Age': '6 - 9 years', 'Property Mortgaged?': 'No', 'Lister Type': 'Landlord', 'Payment Method': 'Cash', 'Category': 'Property For Sale', 'Subcategory': 'Apartments for Sale'}"
https://ly.opensooq.com/en/search/273213191,"1,250,000 LYD","https://www.google.com/maps/search/?api=1&query=32.844074,13.354989&zoom=15","{'City': 'Tripoli', 'Neighborhood': 'Tajura', 'Bedrooms': '2 Bedrooms', 'Bathrooms': '2 Bathrooms', 'Furnished?': 'Furnished', 'Surface Area': '170 meter square', 'Land Area': '1622 meter square', 'Building Age': '10 - 19 years', 'Facade': 'Southeast', 'Property Mortgaged?': 'No', 'Lister Type': 'Agent', 'Payment Method': 'Cash', 'Reference ID': '066', 'Category': 'Property For Sale', 'Subcategory': 'Farms & Chalets for Sale'}"
https://ly.opensooq.com/en/search/275079015,"255,000 LYD","https://www.google.com/maps/search/?api=1&query=32.849712,13.105349&zoom=15","{'City': 'Tripoli', 'Neighborhood': 'Al-Serraj', 'Bedrooms': '4 Bedrooms', 'Bathrooms': '2 Bathrooms', 'Furnished?': 'Unfurnished', 'Surface Area': '125 meter square', 'Floor': 'Fourth Floor', 'Building Age': '1 - 5 years', 'Facade': 'Northeast', 'Property Mortgaged?': 'No', 'Lister Type': 'Landlord', 'Payment Method': 'Cash', 'Category': 'Property For Sale', 'Subcategory': 'Apartments for Sale'}"
https://ly.opensooq.com/en/search/274838943,"120,000 LYD","https://www.google.com/maps/search/?api=1&query=32.093327,20.086777&zoom=15","{'City': 'Benghazi', 'Neighborhood': 'Bu Hadi', 'Bedrooms': '2 Bedrooms', 'Bathrooms': '3 Bathrooms', 'Furnished?': 'Unfurnished', 'Surface Area': '160 meter square', 'Land Area': '500 meter square', 'Number of Floors': '1 Floor', 'Building Age': 'Under Construction', 'Property Mortgaged?': 'No', 'Lister Type': 'Landlord', 'Payment Method': 'Cash', 'Category': 'Property For Sale', 'Subcategory': 'Homes for Sale'}"
https://ly.opensooq.com/en/search/273479605,"700,000 LYD","https://www.google.com/maps/search/?api=1&query=32.878323,13.166314&zoom=15","{'City': 'Tripoli', 'Neighborhood': 'Al-Mansoura', 'Bedrooms': 'More Than 6 Bedrooms', 'Bathrooms': '2 Bathrooms', 'Furnished?': 'Unfurnished', 'Surface Area': '220 meter square', 'Land Area': '133 meter square', 'Number of Floors': '2 Floors', 'Building Age': '20+ years', 'Main Amenities': 'Balcony', 'Facade': 'Eastern', 'Property Mortgaged?': 'No', 'Lister Type': 'Agent', 'Payment Method': 'Cash', 'Reference ID': '07', 'Category': 'Property For Sale', 'Subcategory': 'Homes for Sale'}"
https://ly.opensooq.com/en/search/274815023,"600,000 LYD","https://www.google.com/maps/search/?api=1&query=32.83853,13.150776&zoom=15","{'City': 'Tripoli', 'Neighborhood': 'Airport Road', 'Bedrooms': '2 Bedrooms', 'Bathrooms': '2 Bathrooms', 'Furnished?': 'Furnished', 'Surface Area': '165 meter square', 'Floor': 'Seventh floor', 'Building Age': '10 - 19 years', 'Facade': 'Northern', 'Property Mortgaged?': 'No', 'Lister Type': 'Landlord', 'Payment Method': 'Cash', 'Category': 'Property For Sale', 'Subcategory': 'Apartments for Sale'}"
https://ly.opensooq.com/en/search/274933569,"1,050,000 LYD","https://www.google.com/maps/search/?api=1&query=32.76701,13.284226&zoom=15","{'City': 'Tripoli', 'Neighborhood': 'Tareeq Al-Mashtal', 'Bedrooms': 'More Than 6 Bedrooms', 'Bathrooms': '4 Bathrooms', 'Furnished?': 'Unfurnished', 'Surface Area': '390 meter square', 'Land Area': '265 meter square', 'Number of Floors': '2 Floors', 'Building Age': '1 - 5 years', 'Facade': 'Eastern', 'Property Mortgaged?': 'No', 'Lister Type': 'Agent', 'Payment Method': 'Cash', 'Reference ID': '22222', 'Category': 'Property For Sale', 'Subcategory': 'Villas for Sale'}"
https://ly.opensooq.com/en/search/275068081,"475,000 LYD","https://www.google.com/maps/search/?api=1&query=32.85073,13.239476&zoom=15","{'City': 'Tripoli', 'Neighborhood': 'Alfornaj', 'Bedrooms': '4 Bedrooms', 'Bathrooms': '3 Bathrooms', 'Furnished?': 'Unfurnished', 'Surface Area': '180 meter square', 'Floor': 'Fourth Floor', 'Building Age': '0 - 11 months', 'Main Amenities': 'Balcony', 'Facade': 'Western', 'Property Mortgaged?': 'No', 'Lister Type': 'Landlord', 'Payment Method': 'Cash', 'Category': 'Property For Sale', 'Subcategory': 'Apartments for Sale'}"
https://ly.opensooq.com/en/search/272629911,"450,000 LYD","https://www.google.com/maps/search/?api=1&query=32.635868,13.383924&zoom=15","{'City': 'Tripoli', 'Neighborhood': 'Wadi Al-Rabi', 'Bedrooms': '1 Bedroom', 'Bathrooms': 'One Bathroom', 'Furnished?': 'Semi Furnished', 'Surface Area': '60 meter square', 'Land Area': '2500 meter square', 'Building Age': '6 - 9 years', 'Facade': 'Southern', 'Property Mortgaged?': 'No', 'Lister Type': 'Landlord', 'Payment Method': 'Cash', 'Category': 'Property For Sale', 'Subcategory': 'Farms & Chalets for Sale'}"
https://ly.opensooq.com/en/search/274773149,"1,750,000 LYD","https://www.google.com/maps/search/?api=1&query=32.873769,13.270429&zoom=15","{'City': 'Tripoli', 'Neighborhood': ""Souq Al-Juma'a"", 'Bedrooms': 'More Than 6 Bedrooms', 'Bathrooms': 'More Than 6 Bathrooms', 'Furnished?': 'Unfurnished', 'Surface Area': '400 meter square', 'Land Area': '452 meter square', 'Number of Floors': '2 Floors', 'Building Age': '0 - 11 months', 'Main Amenities': 'Installed Kitchen', 'Facade': 'Southern', 'Property Mortgaged?': 'No', 'Lister Type': 'Agent', 'Payment Method': 'Cash', 'Reference ID': '1973', 'Category': 'Property For Sale', 'Subcategory': 'Homes for Sale'}"
https://ly.opensooq.com/en/search/274820253,"3,950,000 LYD","https://www.google.com/maps/search/?api=1&query=32.850189,13.070551&zoom=15","{'City': 'Tripoli', 'Neighborhood': 'Al-Seyaheyya', 'Bedrooms': 'More Than 6 Bedrooms', 'Bathrooms': '5 Bathrooms', 'Furnished?': 'Unfurnished', 'Surface Area': '480 meter square', 'Land Area': '200 meter square', 'Number of Floors': '3 Floors', 'Building Age': 'Under Construction', 'Facade': 'Southeast', 'Property Mortgaged?': 'No', 'Lister Type': 'Landlord', 'Payment Method': 'Cash', 'Category': 'Property For Sale', 'Subcategory': 'Villas for Sale'}"
https://ly.opensooq.com/en/search/274604103,"185,000 LYD","https://www.google.com/maps/search/?api=1&query=31.937334,19.954775&zoom=15","{'City': 'Benghazi', 'Neighborhood': 'Al Halis District', 'Bedrooms': '2 Bedrooms', 'Bathrooms': 'One Bathroom', 'Furnished?': 'Furnished', 'Surface Area': '127 meter square', 'Land Area': '127 meter square', 'Building Age': '1 - 5 years', 'Nearby': 'Supermarket', 'Facade': 'Eastern', 'Property Mortgaged?': 'No', 'Lister Type': 'Agent', 'Payment Method': 'Cash', 'Category': 'Property For Sale', 'Subcategory': 'Farms & Chalets for Sale'}"
https://ly.opensooq.com/en/search/271326037,"500,000 LYD","https://www.google.com/maps/search/?api=1&query=32.807232,13.315532&zoom=15","{'City': 'Tripoli', 'Neighborhood': 'Ain Zara', 'Bedrooms': '3 Bedrooms', 'Bathrooms': '2 Bathrooms', 'Furnished?': 'Unfurnished', 'Surface Area': '130 meter square', 'Land Area': '663 meter square', 'Number of Floors': '1 Floor', 'Building Age': '10 - 19 years', 'Property Mortgaged?': 'No', 'Lister Type': 'Agent', 'Payment Method': 'Cash', 'Reference ID': '00000008', 'Category': 'Property For Sale', 'Subcategory': 'Homes for Sale'}"
https://ly.opensooq.com/en/search/274308417,"2,300,000 LYD","https://www.google.com/maps/search/?api=1&query=32.903069,13.225187&zoom=15","{'City': 'Tripoli', 'Neighborhood': 'Abu Sittah', 'Bedrooms': 'More Than 6 Bedrooms', 'Bathrooms': '4 Bathrooms', 'Furnished?': 'Unfurnished', 'Surface Area': '440 meter square', 'Land Area': '304 meter square', 'Number of Floors': '2 Floors', 'Building Age': '20+ years', 'Main Amenities': 'Balcony', 'Facade': 'Eastern', 'Property Mortgaged?': 'No', 'Lister Type': 'Landlord', 'Payment Method': 'Cash', 'Category': 'Property For Sale', 'Subcategory': 'Villas for Sale'}"
https://ly.opensooq.com/en/search/273649295,"475,000 LYD","https://www.google.com/maps/search/?api=1&query=32.826208,13.246933&zoom=15","{'City': 'Tripoli', 'Neighborhood': 'Al-Shok Rd', 'Bedrooms': '4 Bedrooms', 'Bathrooms': '3 Bathrooms', 'Furnished?': 'Unfurnished', 'Surface Area': '180 meter square', 'Floor': 'Fourth Floor', 'Building Age': '0 - 11 months', 'Facade': 'Western', 'Property Mortgaged?': 'No', 'Lister Type': 'Landlord', 'Payment Method': 'Cash', 'Category': 'Property For Sale', 'Subcategory': 'Apartments for Sale'}"
https://ly.opensooq.com/en/search/275003681,"2,350,000 LYD","https://www.google.com/maps/search/?api=1&query=32.871208,13.146643&zoom=15","{'City': 'Tripoli', 'Neighborhood': 'Gorje', 'Bedrooms': 'More Than 6 Bedrooms', 'Bathrooms': 'More Than 6 Bathrooms', 'Furnished?': 'Furnished', 'Surface Area': '845 meter square', 'Land Area': '305 meter square', 'Number of Floors': '4 Floors', 'Building Age': '1 - 5 years', 'Main Amenities': 'Laundry Room', 'Additional Amenities': 'BBQ Area', 'Facade': 'Northern', 'Property Mortgaged?': 'No', 'Lister Type': 'Landlord', 'Payment Method': 'Cash', 'Category': 'Property For Sale', 'Subcategory': 'Villas for Sale'}"
https://ly.opensooq.com/en/search/274720257,"215,000 LYD","https://www.google.com/maps/search/?api=1&query=32.844624,13.237267&zoom=15","{'City': 'Tripoli', 'Neighborhood': 'Alfornaj', 'Bedrooms': '2 Bedrooms', 'Bathrooms': 'One Bathroom', 'Furnished?': 'Unfurnished', 'Surface Area': '110 meter square', 'Floor': 'Ground Floor', 'Building Age': '20+ years', 'Main Amenities': 'Balcony', 'Additional Amenities': 'Storage', 'Facade': 'Western', 'Property Mortgaged?': 'No', 'Lister Type': 'Landlord', 'Payment Method': 'Cash', 'Category': 'Property For Sale', 'Subcategory': 'Apartments for Sale'}"
https://ly.opensooq.com/en/search/274675055,"240,000 LYD","https://www.google.com/maps/search/?api=1&query=32.168337,13.028321&zoom=15","{'City': 'Gharyan', 'Neighborhood': 'Other', 'Bedrooms': '4 Bedrooms', 'Bathrooms': '2 Bathrooms', 'Furnished?': 'Unfurnished', 'Surface Area': '160 meter square', 'Floor': 'First Floor', 'Building Age': '10 - 19 years', 'Facade': 'Northeast', 'Property Mortgaged?': 'No', 'Lister Type': 'Landlord', 'Payment Method': 'Cash', 'Category': 'Property For Sale', 'Subcategory': 'Apartments for Sale'}"
https://ly.opensooq.com/en/search/269817571,"2,300,000 LYD","https://www.google.com/maps/search/?api=1&query=32.804192,13.093391&zoom=15","{'City': 'Tripoli', 'Neighborhood': 'Al-Serraj', 'Bedrooms': 'More Than 6 Bedrooms', 'Bathrooms': 'More Than 6 Bathrooms', 'Furnished?': 'Unfurnished', 'Surface Area': '700 meter square', 'Land Area': '2600 meter square', 'Number of Floors': '2 Floors', 'Building Age': 'Under Construction', 'Facade': 'Northern', 'Property Mortgaged?': 'No', 'Lister Type': 'Agent', 'Payment Method': 'Cash', 'Category': 'Property For Sale', 'Subcategory': 'Villas for Sale'}"
https://ly.opensooq.com/en/search/275028815,"1,200,000 LYD","https://www.google.com/maps/search/?api=1&query=32.879863,13.289647&zoom=15","{'City': 'Tripoli', 'Neighborhood': ""Souq Al-Juma'a"", 'Bedrooms': 'More Than 6 Bedrooms', 'Bathrooms': '4 Bathrooms', 'Furnished?': 'Unfurnished', 'Surface Area': '350 meter square', 'Land Area': '220 meter square', 'Number of Floors': '2 Floors', 'Building Age': '6 - 9 years', 'Property Mortgaged?': 'No', 'Lister Type': 'Agent', 'Payment Method': 'Cash', 'Reference ID': '00000000013', 'Category': 'Property For Sale', 'Subcategory': 'Homes for Sale'}"
